Q,var,;,ID,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,?,*,/,%,not,[,],LIBO,LIIN,LICH,LISTR,$,PROGRAM,DELI,DEF,VADE,VALI,IDLI,IDLICO,FUDE,PALI,VADELI,STLI,STMT,STAS,STIN,STDE,STFUCA,FUCA,EXLI,EXLICO,STIF,ELIFLI,ELSE,STLO,STBR,STRE,STEM,EXPR,EXOR,EXAN,EXCO,OPCO,EXRE,OPREL,EXADD,OPADD,EXMUL,OPMUL,EXUN,OPUN,EXPRIM,ARRAY,LIT
30,,r22,r22,,,,,r22,,r22,r22,r22,,,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,r23,r23,,,,,r23,,r23,r23,r23,,,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,r24,r24,,,,,r24,,r24,r24,r24,,,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,r25,r25,,,,,r25,,r25,r25,r25,,,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,s44,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,51,52,53,54,,55,,56,,57,,58,59,60,66,67
42,,r43,r43,,,,,r43,,r43,r43,r43,,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,74,52,53,54,,55,,56,,57,,58,59,60,66,67
44,,,s64,,s68,r32,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,75,,,,,,,,,76,52,53,54,,55,,56,,57,,58,59,60,66,67
45,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,r29,r29,,,,,r29,,r29,r29,r29,,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,79,52,53,54,,55,,56,,57,,58,59,60,66,67
49,,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,r41,r41,,,,,r41,,r41,r41,r41,,,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,r44,,r44,,r44,,,,,,,,,,,,s82,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,r46,,r46,,r46,,,,,,,,,,,,r46,s83,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,r48,,r48,,r48,,,,,,,,,,,,r48,r48,s85,s86,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,
55,,r50,,r50,,r50,,,,,,,,,,,,r50,r50,r50,r50,s88,s89,s90,s91,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,
56,,r54,,r54,,r54,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,s93,s94,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,
57,,r60,,r60,,r60,,,,,,,,,,,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,s96,s97,s98,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,
58,,r64,,r64,,r64,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,99,59,60,66,67
60,,r69,,r69,,r69,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,r70,,r70,,,,,,,,,,,,,,,,,,,,,r70,r70,,,,r70,r70,,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,r71,,r71,,,,,,,,,,,,,,,,,,,,,r71,r71,,,,r71,r71,,r71,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,r72,,r72,,,,,,,,,,,,,,,,,,,,,r72,r72,,,,r72,r72,,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,r73,,r73,s44,r73,,,,,,,,,,,,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,,,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,r74,,r74,,r74,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r75,,r75,,r75,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r76,,r76,,r76,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,s64,,s68,,,,,,,,,,,,,,,,,,,,,s61,s62,,,,s63,s69,,s70,s71,s72,s73,,,,,,,,,,,,,,,,,,65,,,,,,,,,,100,52,53,54,,55,,56,,57,,58,59,60,66,67
